Name,Price,ReviewRatio,TotalReviews,Genres
Heroic Armored Company,0,0.5691,188,"Action,Adventure,Casual,Indie,Racing,Simulation,Early Access"
Last Heroes 4,0,0.66,50,"Adventure,Casual,Indie,RPG,Strategy"
灵界 Sprites（测试版）,0,1.0,16,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy"
Quest Master,0,0.9718,319,"Action,Adventure,Indie,Early Access"
Last Heroes 2,0,0.6716,67,"Adventure,Casual,Indie,RPG"
Frisbee For Fun,0,0.9,20,"Action,Adventure,Casual,Indie,Sports"
Slum Ball VR Tournament,0,0.9091,44,"Casual,Indie,Simulation,Sports"
Ghost in the pool,0,0.7658,333,"Adventure,Indie"
Skator Gator 3D,60,0.9663,178,"Action,Adventure,Indie,Sports"
MicroSStep,80,0.8286,35,"Action,Indie,Early Access"
Alien Crusader,0,0.6162,99,"Action,Free To Play,Indie"
Desperados: Wanted Dead or Alive,75,0.8796,2226,"Action,Strategy"
IT Simulator,0,0.9211,152,Adventure
Gear Path,0,0.7647,17,"Action,Adventure,Indie"
Wishy Washy,0,0.8333,24,"Free To Play,Indie"
HOLY COW! Milking Simulator,0,0.9091,11,"Action,Adventure,Casual,Simulation"
Creeper World 2: Anniversary Edition,50,0.902,459,"Indie,Simulation,Strategy"
Aery VR - A Journey Beyond Time,0,0.9091,66,"Casual,Indie,Simulation"
Battlefield™ 2042,0,0.4674,297774,"Action,Adventure,Casual"
Power Brain Trainer,0,0.8529,34,"Casual,Indie,Simulation,Sports,Strategy"
Spitfire - Moonpie´s Mission,0,1.0,44,"Action,Casual,Indie"
Dead Horizon: Origin,0,0.9571,373,"Action,Adventure,Indie"
Thermo Sudoku,0,0.9548,155,"Casual,Indie,Strategy"
Dungeon Punks,0,0.7273,22,"Action,Adventure,Indie,RPG"
Baldur's Gate: Dark Alliance II,30,0.8109,587,"Action,RPG"
Drive Megapolis,0,0.3797,295,"Casual,Indie,Racing,Simulation"
Rift Riff,0,0.9854,206,"Action,Indie,Strategy"
Heist Kitty: Multiplayer Cat Simulator Game,0,0.7326,86,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation"
Isle of Swaps,0,0.9365,126,"Indie,RPG,Strategy"
Félix VR,0,0.6364,22,Video Production
Aisling and the Tavern of Elves,0,0.6786,28,"Casual,Indie"
Marooners,80,0.6405,676,"Action,Casual,Indie"
Dragon Spirits : Prologue,0,0.9688,128,"Adventure,Indie,RPG,Strategy"
Kamile: The Fall,0,0.7391,23,"Action,Adventure,Indie"
Void -Dementia-,0,0.6216,37,"Action,Indie"
Chop It,0,0.8125,16,"Casual,Indie"
PAPER FIRE ROOKIE (Formerly Paperville Panic),0,0.7288,59,"Action,Adventure,Casual,Indie,Simulation"
Flintlock: The Siege of Dawn,75,0.7582,1104,"Action,Adventure,RPG"
Uprising: Join or Die,0,0.8367,98,"Action,Strategy"
Kinder Finders,0,1.0,14,Casual
Gaming Copilot: AI Companion,0,0.675,80,"Indie,Utilities"
Dollhouse: Behind the Broken Mirror,0,0.375,16,"Action,Adventure"
Merchants of Rosewall,0,0.6875,32,Simulation
Door4:Ultimatum,40,0.7692,13,"Adventure,Indie"
BIOMORPH,35,0.9253,562,"Action,Adventure"
12 locks and keys,69,0.5714,28,"Adventure,Casual,Indie,Simulation,Strategy"
Hidden Industries Top-Down 3D,0,0.8333,12,"Action,Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy"
Farming & Supermarket Simulator,0,0.9067,268,"Adventure,Casual,Indie,Simulation"
Bloodhound,25,0.6832,363,"Action,Indie"
In the House of Silence,0,0.7,10,"Indie,Strategy"
Mansions of Madness,0,0.9276,1188,"Adventure,Strategy"
18 Wheels of Steel: Pedal to the Metal,0,0.9011,91,Simulation
Stellaxy,0,1.0,11,"Action,Adventure,Casual,Indie,RPG"
The Adventures of Poppe,0,0.8163,49,"Action,Adventure,Indie"
Off-Road: Redneck Racing,0,0.6471,17,"Action,Racing"
I Can't Believe It's Not Gambling,45,0.9146,1639,"Casual,Simulation"
Epic Fun,0,0.6452,93,"Casual,Free To Play,Indie,Simulation"
Bubble POP IT ASMR,0,1.0,15,"Adventure,Casual,Indie,Simulation,Strategy"
Injustice: Gods Among Us Ultimate Edition,0,0.8618,19185,Action
UFO 50,25,0.9573,6249,"Action,Adventure,Indie,RPG,Strategy"
Ramen Oil Pecking Simulator,0,0.8439,205,"Casual,Indie,Simulation"
Light Fingers,0,0.8,15,Indie
Castaway of the Ardusta Sea,50,0.7938,97,"Action,Adventure,Indie,RPG"
STAR WARS™ Jedi Knight II - Jedi Outcast™,50,0.912,4694,Action
DAYS END,0,0.6,10,"Action,Adventure,Indie,Free To Play"
Trivia Night,90,0.6081,74,"Casual,Indie"
Agile firefighter,90,0.7059,17,"Casual,Indie"
Kamifuda,0,0.8864,132,"Indie,Strategy"
TurbOT Racing,0,0.6364,11,"Action,Indie,Racing"
Tiny Kingdom,0,0.787,108,"Casual,Indie,Simulation,Strategy"
Savior of the Abyss,0,0.7689,251,Adventure
KitHack Model Club,75,0.8588,588,Unknown
Sketch Tales,0,0.6643,140,"Action,Adventure,Indie,RPG,Early Access"
My Little Sister's Special Place,50,0.9565,92,Adventure
Hellwatch,0,0.6842,19,"Action,Adventure,Massively Multiplayer,RPG"
The Book of Legends,0,0.6702,285,"Adventure,Indie,RPG"
Face Your Fear,0,0.6111,18,Indie
Fobia,0,0.4828,29,"Adventure,Indie"
"Okay, Panic!",0,0.3889,18,"Action,Casual,Indie"
Showbiz Tycoon,0,0.7903,62,"Indie,Simulation,Strategy,Early Access"
Return to Shironagasu Island,0,0.9415,3523,Adventure
Crayon Computer,0,0.6897,29,Simulation
Cats War,0,0.8878,401,"Action,Adventure,Indie"
Tails Noir,80,0.6699,3093,"Adventure,Indie"
Car Tuning Simulator,51,0.4792,144,"Action,Adventure,Casual,Indie,Racing,Simulation,Sports"
Eschaton,0,0.8786,140,"Action,Adventure,Casual,Indie"
